epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.273,1.85902,2.29425,1.73724,0.28251,0.33765,0.26917,0.11111,2.04515,2.3425,1.93699,0.00030205,0.00030205,0.00030205
2,408.763,1.87248,1.98744,1.72285,0.31306,0.34376,0.28728,0.12904,1.98273,2.18929,1.85593,0.00058109,0.00058109,0.00058109
3,608.089,1.84539,1.93155,1.71339,0.44281,0.39654,0.30353,0.12991,1.94256,2.14227,1.8373,0.000836133,0.000836133,0.000836133
4,807.553,1.81603,1.85948,1.69216,0.47444,0.39779,0.32382,0.14934,1.89465,2.0045,1.75322,0.000801011,0.000801011,0.000801011
5,1006.45,1.77128,1.74934,1.65318,0.38585,0.46006,0.41338,0.19636,1.88308,1.79956,1.7321,0.000765014,0.000765014,0.000765014
6,1204.73,1.73376,1.68633,1.63068,0.54325,0.38118,0.40653,0.18451,1.82155,1.80054,1.68275,0.000729018,0.000729018,0.000729018
7,1403.25,1.71673,1.62107,1.60554,0.56752,0.4237,0.4392,0.21278,1.87007,1.82306,1.70332,0.000693022,0.000693022,0.000693022
8,1602.39,1.68473,1.57679,1.59687,0.50581,0.46885,0.4505,0.22341,1.84804,1.74632,1.71113,0.000657025,0.000657025,0.000657025
9,1801.34,1.66857,1.52502,1.57514,0.54943,0.52784,0.48779,0.23658,1.8124,1.65064,1.68748,0.000621029,0.000621029,0.000621029
10,2000.13,1.65023,1.49704,1.56776,0.493,0.49557,0.49887,0.25537,1.73904,1.6239,1.65382,0.000585032,0.000585032,0.000585032
11,2198.97,1.62659,1.44295,1.54555,0.49254,0.49787,0.48474,0.2418,1.81059,1.66921,1.67784,0.000549036,0.000549036,0.000549036
12,2397.19,1.61505,1.41417,1.5389,0.59456,0.54842,0.51767,0.25785,1.81098,1.57054,1.67074,0.00051304,0.00051304,0.00051304
13,2596.08,1.59705,1.37476,1.53766,0.5697,0.48212,0.48588,0.24231,1.78341,1.58493,1.68068,0.000477043,0.000477043,0.000477043
14,2794.25,1.58036,1.35449,1.51716,0.53273,0.48764,0.48297,0.25197,1.79958,1.5607,1.67975,0.000441047,0.000441047,0.000441047
15,2992.47,1.56357,1.33114,1.5157,0.52236,0.50258,0.51345,0.26307,1.7631,1.58751,1.6545,0.00040505,0.00040505,0.00040505
16,3190.98,1.5949,1.29052,1.57246,0.56227,0.54468,0.5183,0.25534,1.80667,1.50833,1.68985,0.000369054,0.000369054,0.000369054
17,3388.67,1.56737,1.22173,1.54466,0.5032,0.50845,0.50258,0.25077,1.78704,1.51164,1.68465,0.000333058,0.000333058,0.000333058
18,3586.63,1.53564,1.16945,1.52636,0.49902,0.52135,0.51246,0.26435,1.77049,1.5049,1.68118,0.000297061,0.000297061,0.000297061
19,3784.37,1.51196,1.13596,1.51981,0.5418,0.4832,0.51014,0.26447,1.75922,1.50143,1.66919,0.000261065,0.000261065,0.000261065
20,3981.87,1.48642,1.09972,1.49113,0.47827,0.54307,0.50199,0.26188,1.74384,1.47003,1.67001,0.000225068,0.000225068,0.000225068
21,4179.82,1.46199,1.06067,1.47596,0.49164,0.57694,0.5303,0.27725,1.79312,1.45475,1.70542,0.000189072,0.000189072,0.000189072
22,4377.74,1.43915,1.01817,1.46125,0.48074,0.56645,0.51397,0.26276,1.80506,1.44419,1.72288,0.000153076,0.000153076,0.000153076
23,4575.78,1.41633,0.97827,1.45556,0.51502,0.4948,0.51156,0.26961,1.76392,1.49496,1.69565,0.000117079,0.000117079,0.000117079
24,4773.55,1.38651,0.93364,1.42963,0.53459,0.50877,0.5108,0.26532,1.7826,1.45972,1.71425,8.10828e-05,8.10828e-05,8.10828e-05
25,4971.62,1.36652,0.90445,1.41492,0.53096,0.51492,0.52308,0.27144,1.79033,1.47923,1.72005,4.50864e-05,4.50864e-05,4.50864e-05
