epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9181,1.87059,2.93326,1.70687,0.47607,0.36984,0.3366,0.15525,1.90971,2.20453,1.69607,0.00030205,0.00030205,0.00030205
2,124.632,1.7927,2.14959,1.61676,0.49279,0.31623,0.31346,0.14454,1.89492,2.10955,1.68773,0.00058109,0.00058109,0.00058109
3,183.427,1.7777,1.9609,1.60979,0.5845,0.30103,0.33747,0.16095,1.90266,2.05628,1.71158,0.000836133,0.000836133,0.000836133
4,241.48,1.76517,1.87369,1.60762,0.36962,0.48022,0.38519,0.17689,1.84412,2.05008,1.68528,0.000801011,0.000801011,0.000801011
5,299.084,1.73278,1.73953,1.57613,0.4743,0.43231,0.4437,0.20498,1.83177,1.8124,1.6621,0.000765014,0.000765014,0.000765014
6,357.031,1.70931,1.68569,1.57872,0.56633,0.4413,0.44485,0.2238,1.78695,1.72208,1.61244,0.000729018,0.000729018,0.000729018
7,415.029,1.69171,1.62297,1.5458,0.49483,0.52226,0.44741,0.22337,1.80922,1.80639,1.65824,0.000693022,0.000693022,0.000693022
8,472.975,1.6698,1.5879,1.53607,0.54787,0.45303,0.45686,0.2169,1.83828,1.73876,1.65518,0.000657025,0.000657025,0.000657025
9,530.837,1.6557,1.54344,1.51477,0.53127,0.48952,0.46162,0.22474,1.80608,1.72706,1.60139,0.000621029,0.000621029,0.000621029
10,588.65,1.63793,1.51041,1.5078,0.46967,0.53259,0.46892,0.24028,1.73711,1.65481,1.57877,0.000585032,0.000585032,0.000585032
11,646.545,1.62025,1.47091,1.49368,0.57922,0.46538,0.49786,0.24897,1.78148,1.65443,1.59965,0.000549036,0.000549036,0.000549036
12,704.297,1.61153,1.43568,1.48523,0.50871,0.51515,0.48872,0.24669,1.78809,1.60601,1.60985,0.00051304,0.00051304,0.00051304
13,761.96,1.5934,1.40596,1.48067,0.50472,0.49089,0.46665,0.23942,1.78704,1.60313,1.61014,0.000477043,0.000477043,0.000477043
14,819.702,1.5821,1.38286,1.46855,0.53703,0.49113,0.49415,0.25972,1.75142,1.59551,1.57843,0.000441047,0.000441047,0.000441047
15,877.17,1.57205,1.36674,1.47157,0.53517,0.48614,0.49574,0.24892,1.73052,1.59134,1.58332,0.00040505,0.00040505,0.00040505
16,935.838,1.59216,1.33263,1.51368,0.54211,0.51235,0.50346,0.26009,1.80459,1.57504,1.61138,0.000369054,0.000369054,0.000369054
17,992.998,1.56658,1.26516,1.49034,0.52427,0.49714,0.4739,0.24479,1.79487,1.59149,1.59877,0.000333058,0.000333058,0.000333058
18,1049.99,1.54459,1.21545,1.476,0.5277,0.46876,0.49401,0.26086,1.76518,1.54255,1.57474,0.000297061,0.000297061,0.000297061
19,1106.81,1.53137,1.18671,1.47307,0.50966,0.50792,0.49218,0.26357,1.75755,1.55365,1.58422,0.000261065,0.000261065,0.000261065
20,1163.47,1.51077,1.15353,1.45049,0.55705,0.49365,0.50582,0.27677,1.73523,1.51865,1.56779,0.000225068,0.000225068,0.000225068
21,1220.52,1.48726,1.12376,1.43056,0.56013,0.49932,0.52612,0.27494,1.78832,1.51298,1.60102,0.000189072,0.000189072,0.000189072
22,1278.05,1.46992,1.09041,1.4193,0.49383,0.52822,0.49271,0.26189,1.80026,1.53156,1.62181,0.000153076,0.000153076,0.000153076
23,1335.54,1.4488,1.05894,1.41389,0.48,0.54832,0.50782,0.26962,1.77593,1.50323,1.59565,0.000117079,0.000117079,0.000117079
24,1392.4,1.43108,1.02553,1.39715,0.46055,0.54788,0.49529,0.2662,1.78237,1.51334,1.60669,8.10828e-05,8.10828e-05,8.10828e-05
25,1449.53,1.41694,1.00462,1.38563,0.54776,0.53389,0.52447,0.27286,1.78516,1.48957,1.6142,4.50864e-05,4.50864e-05,4.50864e-05
