epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.244,1.84554,2.30273,1.69467,0.38994,0.38391,0.2874,0.12597,1.99406,2.2517,1.81309,0.00030205,0.00030205,0.00030205
2,197.879,1.81836,1.87607,1.65378,0.35444,0.38373,0.34525,0.16246,1.9764,1.97999,1.77217,0.00058109,0.00058109,0.00058109
3,291.365,1.80531,1.8141,1.65126,0.53257,0.38776,0.35674,0.16128,1.93135,1.93059,1.75612,0.000836133,0.000836133,0.000836133
4,384.374,1.79111,1.77367,1.63527,0.51139,0.37805,0.36511,0.17293,1.90096,1.92592,1.66987,0.000801011,0.000801011,0.000801011
5,477.303,1.74331,1.672,1.59663,0.45972,0.45092,0.423,0.20504,1.81529,1.74434,1.64184,0.000765014,0.000765014,0.000765014
6,570.373,1.7122,1.6232,1.58176,0.534,0.44187,0.40696,0.18199,1.88294,1.77426,1.68869,0.000729018,0.000729018,0.000729018
7,663.493,1.69896,1.55727,1.55455,0.45071,0.53462,0.47177,0.23184,1.82367,1.69757,1.63447,0.000693022,0.000693022,0.000693022
8,756.655,1.67339,1.525,1.54557,0.51938,0.45686,0.47208,0.22524,1.82013,1.64834,1.648,0.000657025,0.000657025,0.000657025
9,849.538,1.65197,1.47495,1.51729,0.5257,0.48833,0.47213,0.23449,1.82805,1.67787,1.6597,0.000621029,0.000621029,0.000621029
10,942.633,1.63378,1.44188,1.51856,0.52657,0.49333,0.50393,0.25668,1.74488,1.55592,1.60386,0.000585032,0.000585032,0.000585032
11,1035.68,1.6126,1.39339,1.49442,0.45193,0.53358,0.49589,0.25115,1.79414,1.66224,1.61892,0.000549036,0.000549036,0.000549036
12,1128.77,1.60399,1.36574,1.49045,0.57302,0.48794,0.5041,0.24708,1.81256,1.56624,1.642,0.00051304,0.00051304,0.00051304
13,1221.55,1.58559,1.32704,1.4825,0.54499,0.47439,0.48979,0.24267,1.80057,1.54576,1.63807,0.000477043,0.000477043,0.000477043
14,1314.51,1.56258,1.29457,1.46433,0.43581,0.53765,0.49126,0.25014,1.77956,1.50542,1.60529,0.000441047,0.000441047,0.000441047
15,1407.51,1.55471,1.28942,1.46566,0.58706,0.48657,0.51441,0.25205,1.79724,1.5231,1.63568,0.00040505,0.00040505,0.00040505
16,1501.32,1.57776,1.22997,1.51071,0.56298,0.49971,0.50766,0.26958,1.80301,1.5034,1.62019,0.000369054,0.000369054,0.000369054
17,1593.92,1.54287,1.17818,1.48425,0.49177,0.53705,0.48937,0.24976,1.78333,1.52133,1.6255,0.000333058,0.000333058,0.000333058
18,1686.36,1.52159,1.12659,1.46508,0.48751,0.53164,0.50771,0.26018,1.78923,1.50649,1.61954,0.000297061,0.000297061,0.000297061
19,1778.8,1.49831,1.0963,1.45661,0.51521,0.52179,0.50962,0.26969,1.7706,1.49139,1.61508,0.000261065,0.000261065,0.000261065
20,1871.27,1.4729,1.05252,1.43171,0.50225,0.50918,0.50883,0.2685,1.77901,1.49462,1.63641,0.000225068,0.000225068,0.000225068
21,1963.78,1.44314,1.01042,1.41136,0.50022,0.54863,0.52522,0.28076,1.79998,1.47182,1.64453,0.000189072,0.000189072,0.000189072
22,2056.39,1.42281,0.97016,1.39755,0.54238,0.51549,0.51796,0.26611,1.84676,1.49035,1.67061,0.000153076,0.000153076,0.000153076
23,2148.86,1.39824,0.93039,1.39114,0.52551,0.53421,0.49908,0.26184,1.80459,1.48822,1.64262,0.000117079,0.000117079,0.000117079
24,2241.21,1.37113,0.89443,1.36539,0.49818,0.54703,0.50654,0.26333,1.81141,1.51741,1.6489,8.10828e-05,8.10828e-05,8.10828e-05
25,2333.51,1.35427,0.8661,1.35365,0.51448,0.54747,0.51084,0.26319,1.83442,1.4959,1.66417,4.50864e-05,4.50864e-05,4.50864e-05
